COMMUNE_NAME,TOTAL_INSURED_CAPITAL,POLICY_COUNT
733 - TAOUZIANAT,2170000.00,1
734 - YABOUS,3596000.00,2
735 - AFLOU,3100000.00,2
736 - AIN MADHI,3720000.00,2
745 - HASSI DHELAA,9610000.00,4
746 - HASSI RMEL,17625670.00,8
747 - KHENEG,16960000.00,3
748 - KSAR EL HIRANE,1860000.00,1
749 - LAGHOUAT,1176118970.00,150
755 - SIDI MAKHLOUF,1860000.00,1
756 - TADJEMOUT,4960000.00,2
759 - AIN FARES MASCARA,26692860.00,9
76 - EL AMRIA,1000000.00,1
760 - AIN FEKAN,3100000.00,1
762 - AIN FRASS,3640000.00,1
766 - BOUHANIFIA,10978080.00,4
775 - EL MAMOUNIA,12797050.00,3
778 - FROHA,13478150.00,6
78 - EL MALAH,945000.00,1
782 - HACINE,1295000.00,2
785 - MAOUSSA,4617200.00,3
786 - MASCARA,4269666132.34,746
789 - MOHAMMADIA MASCARA,17775600.00,6
793 - OUED TAGHIA,4526000.00,2
8 - FENOUGHIL,8200000.00,1
800 - SIDI KADA,2625000.00,2
801 - SIG,8976850.00,3
802 - TIGHENNIF,73739390.00,9
803 - TIZI,68563550.00,10
804 - ZAHANA,2756356000.00,12
806 - AIN BOUCIF,6279980.00,1
811 - BEN CHICAO,9480000.00,3
812 - BENI SLIMANE,23168800.00,7
813 - BERROUAGHIA,960369240.00,361
815 - BOGHAR,2821000.00,1
818 - BOUCHRAHIL,8068060.00,4
819 - BOUGHZOUL,1000000.00,1
822 - CHELLALAT EL ADHAOURA,49841480.00,22
823 - CHENIGUEL,8568000.00,2
824 - DERRAG,12250000.00,1
826 - DJOUAB,17108200.00,2
827 - DRAA ESSMAR,18500000.00,3
829 - EL AZIZIA,11633990.00,4
830 - EL GUELBELKEBIR,1000000.00,1
831 - EL HAMDANIA,1000000.00,1
832 - EL OMARIA,29390260.00,12
835 - KHAMS DJOUAMAA,14410950.00,4
836 - KSAR EL BOUKHARI,19148360.00,5
838 - MEDEA,750685600.00,198
843 - OUAMRI,10200000.00,3
844 - OUED HARBIL,3000000.00,1
845 - OULED ANTAR,1457000.00,1
846 - OULED BOUACHRA,2100000.00,1
847 - OULED BRAHIM MEDEA,1000000.00,1
848 - OULED DEIDE,25846800.00,6
852 - OUZERA,48903000.00,18
856 - SEGHOUANE,19610330.00,8
860 - SIDI NAAMANE MEDEA,52200000.00,15
863 - SOUAGUI,4235100.00,3
864 - TABLAT,10932340.00,6
866 - TAMESGUIDA,5250000.00,1
868 - TLATET ED DOUAIR,17695000.00,7
869 - ZOUBIRIA,46674050.00,14
870 - AHMED RACHDI,13173650.00,10
872 - AIN MELLOUK,9000000.00,3
873 - AIN TINE,840000.00,1
874 - AMIRA ARRES,9701030.00,6
875 - BENYAHIA ABDERRAHMANE,2200000.00,1
877 - CHELGHOUM LAID,596188160.00,207
880 - EL AYADI BARBES,2215500.00,1
881 - EL MCHIRA,45821380.00,16
882 - FERDJIOUA,7744600.00,5
883 - GRAREM GOUGA,119625550.00,42
885 - MILA,279845180.00,99
886 - MINAR ZARZA,700000.00,1
887 - OUED ATHMANIA,21370250.00,6
888 - OUED ENDJA,41772200.00,21
889 - OUED SEGUEN,90759070.00,26
890 - OULED KHELLOUF,38040000.00,11
891 - ROUACHED,18024000.00,10
893 - SIDI MEROUANE,45002100.00,16
894 - TADJENANET,200511600.00,91
895 - TASSADANE HADDADA,1400000.00,1
896 - TASSALA LEMTAI,2011800.00,2
897 - TELAGHMA,783773830.00,184
898 - TERRAI BAINEM,61491970.00,35
899 - TIBERGUENT,6940000.00,1
901 - ZEGHAIA,99465450.00,53
905 - AIN NOUISSI,12311458.62,5
906 - AIN SIDI CHERIF,21885000.00,4
907 - AIN TEDLES,1500000.00,1
908 - BOUGUIRAT,18425368.10,2
909 - EL HESSIANE,2000000.00,1
910 - FORNAKA,14394800.00,3
911 - HADJADJ,2604000.00,1
912 - HASSI MAAMECHE,108013370.00,20
914 - KHEIR EDDINE,163165630.00,18
916 - MESRA,91800650.00,15
917 - MEZAGHRANE,324258180.00,67
918 - MOSTAGANEM,1190317736.00,222
922 - OULED MAALAH,30000000.00,1
923 - SAFSAF,387204028.51,25
924 - SAYADA,91227330.00,14
925 - SIDI ALI,4620860.00,2
927 - SIDI LAKHDAR MOSTAGANEM,425776750.00,4
928 - SIRAT,103488750.00,43
929 - SOUAFLIA,87360594.15,6
930 - SOUR,700000.00,1
931 - STIDIA,26201000.00,9
934 - AIN EL HADJEL,91108760.00,39
939 - BELAIBA,3220000.00,2
941 - BENI ILMENE,118740570.00,14
943 - BERHOUM,11445000.00,3
945 - BOUSAADA,10354000.00,1
946 - BOUTI SAYEH,7000000.00,3
95 - TAMZOUGHA,21639800.00,4
952 - HAMMAM DHALAA,74133230.00,2
953 - KHETTOUTI SED EL DJIR,4200000.00,1
955 - MAADID,2800000.00,2
957 - MAGRA,4200000.00,3
960 - MENAA M SILA,2170000.00,1
961 - MOHAMED BOUDIAF,5456000.00,1
962 - MSILA,646117550.00,287
966 - OULED DERRADJ,1550000.00,1
969 - OULED SIDI BRAHIM M SILA,2325000.00,1
97 - AIN BENIAN (ALGER),1031148479.00,274
972 - SIDI AISSA,763265920.00,197
974 - SIDI HADJERES,3600000.00,2
979 - TARMOUNT,4960000.00,1
98 - AIN TAYA,111657500.00,24
982 - AIN SEFRA,2240000.00,1
987 - MECHRIA,6305360.00,3
99 - ALGER,3437456240.00,374
994 - AIN TURK,11857300.00,5
995 - AIN KERMA ORAN,14725260.00,3
997 - AIN TURK,279537850.00,68
998 - ARZEW ORAN,28775650.00,13
999 - ARZEW ORAN,2522100.00,1
