COMMUNE_NAME,TOTAL_INSURED_CAPITAL,POLICY_COUNT
812 - BENI SLIMANE,4000000.00,1
813 - BERROUAGHIA,970186910.00,283
818 - BOUCHRAHIL,9090000.00,2
819 - BOUGHZOUL,3000000.00,1
822 - CHELLALAT EL ADHAOURA,23573490.00,8
823 - CHENIGUEL,8500000.00,1
827 - DRAA ESSMAR,72905130.00,14
828 - EL AOUINET MEDEA,1000000.00,1
830 - EL GUELBELKEBIR,4500000.00,3
832 - EL OMARIA,25532750.00,8
835 - KHAMS DJOUAMAA,4156250.00,1
836 - KSAR EL BOUKHARI,12881480.00,4
838 - MEDEA,1620755874.10,308
842 - MOUDJEBEUR,7500000.00,2
843 - OUAMRI,29542000.00,6
847 - OULED BRAHIM MEDEA,7576400.00,2
848 - OULED DEIDE,11075600.00,4
850 - OULED MAAREF,3003400.00,2
852 - OUZERA,35829440.00,12
853 - REBAIA,9200000.00,2
855 - SEDRAIA,3500000.00,1
856 - SEGHOUANE,11502600.00,3
857 - SI MAHDJOUB,2000000.00,2
860 - SIDI NAAMANE MEDEA,34763030.00,13
861 - SIDI ZAHAR,3000000.00,1
863 - SOUAGUI,4130000.00,1
864 - TABLAT,5877000.00,3
868 - TLATET ED DOUAIR,10951250.00,4
869 - ZOUBIRIA,23300000.00,8
870 - AHMED RACHDI,27511750.00,10
874 - AMIRA ARRES,22435140.00,13
875 - BENYAHIA ABDERRAHMANE,2000000.00,1
876 - BOUHATEM,3000000.00,1
877 - CHELGHOUM LAID,601567815.00,199
878 - CHERAGA MILA,12500000.00,2
879 - DERRADJI BOUSSELAH,3000000.00,1
88 - OULHACA GHERRABA AIN TEMOUCHENT,3652600.00,1
881 - EL MCHIRA,50006900.00,13
882 - FERDJIOUA,7503300.00,5
883 - GRAREM GOUGA,62431670.00,33
884 - HAMALA,956220000.00,3
885 - MILA,271480100.00,79
886 - MINAR ZARZA,1680000.00,1
887 - OUED ATHMANIA,6000000.00,3
888 - OUED ENDJA,39994850.00,24
889 - OUED SEGUEN,116670420.00,30
890 - OULED KHELLOUF,22028950.00,5
891 - ROUACHED,498786903.00,24
893 - SIDI MEROUANE,13638100.00,6
894 - TADJENANET,162162690.00,68
896 - TASSALA LEMTAI,10338650.00,8
897 - TELAGHMA,677689290.00,180
898 - TERRAI BAINEM,57320280.00,37
899 - TIBERGUENT,1790250.00,1
901 - ZEGHAIA,101729110.00,58
903 - ACHAACHA,1216000.00,1
904 - AIN BOUDINAR,1750000.00,1
905 - AIN NOUISSI,28510200.00,14
906 - AIN SIDI CHERIF,15995000.00,3
907 - AIN TEDLES,2571490.00,2
908 - BOUGUIRAT,11445000.00,2
909 - EL HESSIANE,2000000.00,1
910 - FORNAKA,18170000.00,3
912 - HASSI MAAMECHE,118768700.00,24
914 - KHEIR EDDINE,129930000.00,16
916 - MESRA,77743160.00,21
917 - MEZAGHRANE,346729001.50,64
918 - MOSTAGANEM,1147072526.00,245
921 - OULED BOUGHALEM,4104000.00,1
922 - OULED MAALAH,8502000.00,1
924 - SAYADA,37281300.00,9
925 - SIDI ALI,12009100.00,3
927 - SIDI LAKHDAR MOSTAGANEM,2673060.00,2
928 - SIRAT,139421950.00,36
931 - STIDIA,53107750.00,6
933 - TOUAHRIA,1120000.00,1
934 - AIN EL HADJEL,196094400.00,49
938 - AIN KHADRA,14255000.00,10
939 - BELAIBA,2800000.00,2
940 - BEN SROUR,1960000.00,1
941 - BENI ILMENE,56939000.00,12
943 - BERHOUM,23000000.00,16
944 - BIR FODDA,2646160.00,1
945 - BOUSAADA,15394000.00,2
946 - BOUTI SAYEH,3000000.00,3
948 - DEHAHNA,2000000.00,1
95 - TAMZOUGHA,10800000.00,3
952 - HAMMAM DHALAA,307797700.00,69
953 - KHETTOUTI SED EL DJIR,2688000.00,2
955 - MAADID,1670000.00,2
957 - MAGRA,11707600.00,9
958 - MCIF,6200000.00,2
962 - MSILA,591940640.00,252
964 - OUENOUGHA,20100000.00,4
965 - OULED ADDI GUEBALA,2968000.00,2
966 - OULED DERRADJ,3454640.00,2
967 - OULED MADHI,2480000.00,2
969 - OULED SIDI BRAHIM M SILA,5425000.00,1
97 - AIN BENIAN (ALGER),927295540.00,281
972 - SIDI AISSA,748542970.00,160
974 - SIDI HADJERES,26300000.00,6
98 - AIN TAYA,236915660.00,12
987 - MECHRIA,4000000.00,2
99 - ALGER,21901145302.61,426
994 - AIN TURK,18690000.00,4
995 - AIN KERMA ORAN,6800000.00,3
997 - AIN TURK,908635460.00,139
998 - ARZEW ORAN,46914840.00,14
999 - ARZEW ORAN,3002000.00,3
